,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
15,ID 73038306,real_estate_agent,https://www.cian.ru/sale/flat/301616082/,Москва,sale,flat,4,9,1,30.1,-1,0,12200000,Перово,2-я Владимирская ,3,Перово,
16,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/299330003/,Москва,sale,flat,63,66,1,86.0,-1,0,96000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
17,ID 13371278,unknown,https://www.cian.ru/sale/flat/300683935/,Москва,sale,flat,2,9,1,32.0,-1,0,10200000,Тропарево-Никулино, 26 Бакинских Комиссаров,7к4,Юго-Западная,
18,Лофт Инвест,real_estate_agent,https://www.cian.ru/sale/flat/299893948/,Москва,sale,flat,5,16,1,38.9,-1,0,11300000,Отрадное,Алтуфьевское шоссе,2,Владыкино,
19,ID 84856352,homeowner,https://www.cian.ru/sale/flat/301505612/,Москва,sale,flat,5,14,1,34.6,-1,0,13650000,Нагорный,Ялтинская ,8,Севастопольская,
20,Качанова и партнеры,real_estate_agent,https://www.cian.ru/sale/flat/300638308/,Москва,sale,flat,2,9,1,32.0,-1,0,13700000,Донской, Шаболовка,54,Шаболовская,
21,САМОЛЕТ ПЛЮС,real_estate_agent,https://www.cian.ru/sale/flat/300043698/,Москва,sale,flat,8,17,1,38.1,-1,0,9700000,Кузьминки,Волжский бульвар,31К1,Кузьминки,
22,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/301026477/,Москва,sale,flat,3,12,1,35.0,-1,0,9700000,Марьино,Перервинский бульвар,7К1,Братиславская,
23,ID 10392706,homeowner,https://www.cian.ru/sale/flat/300396782/,Москва,sale,flat,6,9,1,32.5,-1,0,12990000,Черемушки,Новочеремушкинская ,55К1,Профсоюзная,
24,Юлия Иванова,realtor,https://www.cian.ru/sale/flat/301083049/,Москва,sale,flat,45,52,1,43.1,-1,0,25750000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
25,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/300501002/,Москва,sale,flat,3,12,1,35.0,-1,0,10100000,Западное Дегунино, Ивана Сусанина,4К1,Моссельмаш,
26,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300791352/,Москва,sale,flat,2,12,1,35.8,-1,0,11499999,Академический, Винокурова,12К4,Академическая,
27,Estes,real_estate_agent,https://www.cian.ru/sale/flat/300647536/,Москва,sale,flat,4,12,1,38.7,-1,0,12550000,Нагатино-Садовники,Коломенский проезд,14К1,Каширская,
28,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/298376026/,Москва,sale,flat,15,30,1,37.5,-1,0,14500000,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская,
29,Кремлёвские Ключи,real_estate_agent,https://www.cian.ru/sale/flat/301136222/,Москва,sale,flat,2,6,1,9.6,-1,0,3090000,Северное Измайлово,Сиреневый бульвар,15,Щёлковская,
30,Bespoke Estate,real_estate_agent,https://www.cian.ru/sale/flat/299843007/,Москва,sale,flat,12,85,1,89.0,-1,0,59000000,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр,МФК ОКО
31,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/298159475/,Москва,sale,flat,3,32,1,35.0,-1,0,19000000,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,Level Причальный
32,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299774427/,Москва,sale,flat,7,9,1,32.5,-1,0,8600000,Орехово-Борисово Южное,Шипиловский проезд,63К1,Домодедовская,
33,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/301449742/,Москва,sale,flat,8,17,1,38.5,-1,0,13400000,Марфино, Кашенкин Луг,8к3,Улица Милашенкова,
34,do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/300136415/,Москва,sale,flat,12,14,1,54.5,-1,0,35700000,Пресненский, Малая Грузинская,28,Краснопресненская,
35,DOORS AGENCY MOSCOW,real_estate_agent,https://www.cian.ru/sale/flat/301577858/,Москва,sale,flat,22,22,1,38.6,-1,0,11000000,Марьино,Мячковский бульвар,31/19,Марьино,
36,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299635004/,Москва,sale,flat,16,17,1,37.8,-1,0,8700000,, Солнечная,15,Рассказовка,Град Московский
37,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/295758505/,Москва,sale,flat,6,9,1,32.8,-1,0,8900000,Печатники,Шоссейная ,3,Печатники,
38,Ольга Троицкая,realtor,https://www.cian.ru/sale/flat/299702158/,Москва,sale,flat,3,16,1,39.0,-1,0,7000000,, Дмитрия Кабалевского,20,Ватутинки,
39,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300313530/,Москва,sale,flat,12,17,1,41.6,-1,0,8900000,Косино-Ухтомский,Лухмановская ,15к4,Лухмановская,
40,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298065569/,Москва,sale,flat,8,12,1,34.9,-1,0,9000000,Дмитровский,Клязьминская ,4,Грачёвская,
41,МГСН,real_estate_agent,https://www.cian.ru/sale/flat/301456003/,Москва,sale,flat,7,14,1,39.0,-1,0,9600000,Коньково, Бутлерова,38К3,Беляево,
42,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299740960/,Москва,sale,flat,15,17,1,34.6,-1,0,9000000,Ясенево, Инессы Арманд,7,Новоясеневская,
43,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299776431/,Москва,sale,flat,12,12,1,38.7,-1,0,9200000,Орехово-Борисово Южное,Домодедовская ,38К2,Домодедовская,
44,ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/294760157/,Москва,sale,flat,5,16,1,20.3,-1,0,7000000,Очаково-Матвеевское,Аминьевское шоссе,17,Давыдково,
45,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297263854/,Москва,sale,flat,2,14,1,38.3,-1,0,9300000,Южное Бутово,Изюмская ,49к4,Бутово,
46,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298520114/,Москва,sale,flat,9,12,1,39.0,-1,0,9380000,Марьино,Донецкая ,19,Курьяново,
47,ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/301647536/,Москва,sale,flat,3,12,1,36.0,-1,0,13500000,Новогиреево,Союзный проспект,20К4,Новогиреево,
48,Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/300967755/,Москва,sale,flat,2,2,1,28.7,-1,0,9500000,Текстильщики,Грайвороновская ,4С2,Текстильщики,
49,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301129606/,Москва,sale,flat,1,5,1,17.9,-1,0,9600000,Соколиная гора,проспект Буденного,24К3,Сортировочная,
50,ID 661447,homeowner,https://www.cian.ru/sale/flat/301621260/,Москва,sale,flat,14,25,1,42.1,-1,0,13900000,Покровское-Стрешнево, Большая Набережная,19к2,Тушинская,
51,Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/301181308/,Москва,sale,flat,2,2,1,31.4,-1,0,9800000,Текстильщики,Грайвороновская ,4С2,Текстильщики,
52,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299469625/,Москва,sale,flat,8,17,1,38.0,-1,0,10000000,Северное Бутово, Грина,9,Бульвар Дмитрия Донского,
53,ID 87697228,homeowner,https://www.cian.ru/sale/flat/301594873/,Москва,sale,flat,14,17,1,38.0,-1,0,13000000,Северное Медведково,Студеный проезд,4К6,Медведково,
54,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299722483/,Москва,sale,flat,6,13,1,26.8,-1,0,10300000,Таганский,Волгоградский проспект,1С1,Пролетарская,
55,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297902239/,Москва,sale,flat,13,16,1,37.5,-1,0,10300000,Бибирево,Белозерская ,17,Бибирево,
56,Jcat,real_estate_agent,https://www.cian.ru/sale/flat/301215878/,Москва,sale,flat,8,9,1,35.0,-1,0,8200000,Гольяново,Хабаровская ,1,Щёлковская,
57,Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/300557795/,Москва,sale,flat,5,12,1,35.0,-1,0,14490000,Войковский,3-я Радиаторская ,13,Войковская,
58,ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/301407636/,Москва,sale,flat,21,22,1,38.5,-1,0,14999000,Южное Тушино,бульвар Яна Райниса,45К2,Сходненская,
59,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300889564/,Москва,sale,flat,12,16,1,40.6,-1,0,18900000,Можайский, Вересаева,10,Давыдково,
60,ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/300962482/,Москва,sale,flat,5,14,1,33.0,-1,0,11999000,Алексеевский,Маломосковская ,3К2,ВДНХ,
61,ID 20233064,unknown,https://www.cian.ru/sale/flat/301643961/,Москва,sale,flat,4,5,1,31.0,-1,0,8899000,Метрогородок,Открытое шоссе,25К13,Бульвар Рокоссовского,
62,ID 236173,realtor,https://www.cian.ru/sale/flat/300077196/,Москва,sale,flat,8,9,1,31.5,-1,0,10500000,Нагатино-Садовники,Коломенский проезд,25к1,Коломенская,
63,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300725362/,Москва,sale,flat,8,9,1,35.0,-1,0,10490000,Северное Тушино, Вилиса Лациса,11К3,Планерная,
64,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300071808/,Москва,sale,flat,4,5,1,51.4,-1,0,11800000,Рязанский, Михайлова,22К1,Плющево,
65,На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/301580073/,Москва,sale,flat,11,14,1,34.4,-1,0,11350000,Котловка,Нахимовский проспект,22,Нахимовский проспект,
66,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294451528/,Москва,sale,flat,9,17,1,38.0,-1,0,10500000,Южное Бутово,Веневская ,9,Бульвар Адмирала Ушакова,
67,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299942586/,Москва,sale,flat,18,21,1,42.0,-1,0,15450000,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная,Мичуринский парк
68,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300045498/,Москва,sale,flat,11,16,1,36.8,-1,0,14899000,Таганский,Вековая ,5,Площадь Ильича,
69,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294038293/,Москва,sale,flat,11,24,1,43.5,-1,0,14100000,Нижегородский, Нижняя Хохловка,8,Нижегородская,
70,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294258749/,Москва,sale,flat,12,17,1,37.9,-1,0,12000000,Братеево,Братеевская ,21,Борисово,
71,ID 88240881,homeowner,https://www.cian.ru/sale/flat/300393119/,Москва,sale,flat,10,12,1,46.0,-1,0,17900000,Филевский парк,Береговой проезд,9К5,Фили,
72,Estes,real_estate_agent,https://www.cian.ru/sale/flat/301508047/,Москва,sale,flat,15,17,1,38.0,-1,0,11800000,Вешняки,аллея Жемчуговой,5К3,Новогиреево,
73,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301165914/,Москва,sale,flat,7,24,1,49.0,-1,0,23000000,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
74,Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301613522/,Москва,sale,flat,9,9,1,35.5,-1,0,13790000,Кунцево,Молдавская ,8,Кунцевская,
75,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301561988/,Москва,sale,flat,8,12,1,81.0,-1,0,98000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
76,EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/301601248/,Москва,sale,flat,16,39,1,47.6,-1,0,25000000,Раменки, Лобачевского,120к1,Аминьевская,Крылья
77,Гранд Сервис Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299257847/,Москва,sale,flat,5,5,1,32.0,-1,0,8700000,Перово,Новогиреевская ,13,Перово,
78,ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/301078527/,Москва,sale,flat,3,5,1,47.2,-1,0,40900000,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse
79,BERI,real_estate_agent,https://www.cian.ru/sale/flat/297062106/,Москва,sale,flat,2,9,1,34.1,-1,0,21190000,Красносельский,переулок Даев,12/16,Сухаревская,
80,BERI,real_estate_agent,https://www.cian.ru/sale/flat/300098216/,Москва,sale,flat,5,9,1,33.1,-1,0,10190000,Восточное Дегунино,Дубнинская ,16К6,Дегунино,
81,ТСН Владис,real_estate_agent,https://www.cian.ru/sale/flat/298620907/,Москва,sale,flat,11,16,1,44.9,-1,0,17480000,Басманный,Рубцовская набережная,2К3,Электрозаводская,
82,Estes,real_estate_agent,https://www.cian.ru/sale/flat/301504109/,Москва,sale,flat,9,9,1,41.0,-1,0,12900000,, Инженера Кнорре,7к3,Румянцево,
83,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301201901/,Москва,sale,flat,6,9,1,32.6,-1,0,9700000,Ховрино,Клинская ,9,Грачёвская,
84,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/300614822/,Москва,sale,flat,11,12,1,40.0,-1,0,14500000,Хорошево-Мневники, Мневники,10К1,Народное Ополчение,
85,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300099173/,Москва,sale,flat,3,15,1,37.5,-1,0,30000000,Аэропорт,Ленинградский проспект,36с39,Динамо,ВТБ Арена парк
86,ID 19637233,homeowner,https://www.cian.ru/sale/flat/301627653/,Москва,sale,flat,9,16,1,38.0,-1,0,12300000,Марьино,Новочеркасский бульвар,30,Марьино,
87,MOD estate,real_estate_agent,https://www.cian.ru/sale/flat/299499349/,Москва,sale,flat,5,21,1,48.4,-1,0,22800000,Щукино,Щукинская ,3,Щукинская,Интонация
88,do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/299925097/,Москва,sale,flat,8,16,1,56.1,-1,0,28000000,Таганский,переулок Большой Симоновский,2,Пролетарская,На Симоновском
89,Людмила Геберт,realtor,https://www.cian.ru/sale/flat/301602074/,Москва,sale,flat,2,16,1,37.8,-1,0,13300000,Марьино, Маршала Голованова,20,Марьино,
90,ID 96167522,realtor,https://www.cian.ru/sale/flat/294926126/,Москва,sale,flat,4,9,1,26.8,-1,0,6182125,Люблино, Верхние Поля,27С2,Братиславская,
91,ID 96167522,realtor,https://www.cian.ru/sale/flat/296746930/,Москва,sale,flat,1,9,1,34.9,-1,0,6854250,Люблино, Верхние Поля,27С2,Братиславская,
92,Мери Мовсисян,realtor,https://www.cian.ru/sale/flat/301556884/,Москва,sale,flat,7,12,1,35.0,-1,0,9200000,Метрогородок,Открытое шоссе,27К8,Бульвар Рокоссовского,
93,ID 96167522,realtor,https://www.cian.ru/sale/flat/301361857/,Москва,sale,flat,5,9,1,29.5,-1,0,6688500,Люблино, Верхние Поля,27С2,Братиславская,
94,ID 96167522,realtor,https://www.cian.ru/sale/flat/295766411/,Москва,sale,flat,9,9,1,35.3,-1,0,8977500,Люблино, Верхние Поля,27С2,Братиславская,
95,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/299486441/,Москва,sale,flat,6,12,1,41.15,-1,0,13400000,Нагатинский затон,Коломенская ,21К1,Кленовый бульвар,
96,На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/297368415/,Москва,sale,flat,30,32,1,43.8,-1,0,16950000,Бутырский, Руставели,14,Бутырская,Руставели 14
97,ID 96167522,realtor,https://www.cian.ru/sale/flat/299789518/,Москва,sale,flat,6,9,1,26.9,-1,0,6507900,Люблино, Верхние Поля,27С2,Братиславская,
98,Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/299549348/,Москва,sale,flat,10,24,1,40.8,-1,0,12600000,Нижегородский, Нижняя Хохловка,8,Нижегородская,
99,ID 96167522,realtor,https://www.cian.ru/sale/flat/298016388/,Москва,sale,flat,1,9,1,29.8,-1,0,6370000,Люблино, Верхние Поля,27С2,Братиславская,
100,ID 96167522,realtor,https://www.cian.ru/sale/flat/296746996/,Москва,sale,flat,9,9,1,35.1,-1,0,7220000,Люблино, Верхние Поля,27С2,Братиславская,
101,ID 95750222,unknown,https://www.cian.ru/sale/flat/300989405/,Москва,sale,flat,6,9,1,33.0,-1,0,14900000,Сокольники, Шумкина,15,Сокольники,
102,ID 96167522,realtor,https://www.cian.ru/sale/flat/298016618/,Москва,sale,flat,4,9,1,36.1,-1,0,9120000,Люблино, Верхние Поля,27С2,Братиславская,
103,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301520908/,Москва,sale,flat,3,14,1,62.0,-1,0,63000000,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
104,Homeprice,real_estate_agent,https://www.cian.ru/sale/flat/301044462/,Москва,sale,flat,2,5,1,38.0,-1,0,11400000,Академический, Шверника,14/1К1,Академическая,
105,ID 96167522,realtor,https://www.cian.ru/sale/flat/294228710/,Москва,sale,flat,8,9,1,37.0,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
106,ID 96167522,realtor,https://www.cian.ru/sale/flat/294226529/,Москва,sale,flat,5,9,1,36.1,-1,0,9120000,Люблино, Верхние Поля,27С2,Братиславская,
107,Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/300136053/,Москва,sale,flat,3,9,1,32.6,-1,0,9800000,Восточное Измайлово,9-я Парковая ,2,Первомайская,
108,ID 96167522,realtor,https://www.cian.ru/sale/flat/294926973/,Москва,sale,flat,7,9,1,36.9,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
109,ID 96167522,realtor,https://www.cian.ru/sale/flat/296747241/,Москва,sale,flat,4,9,1,36.0,-1,0,9120000,Люблино, Верхние Поля,27С2,Братиславская,
110,Борис Чудаев,realtor,https://www.cian.ru/sale/flat/301452148/,Москва,sale,flat,11,23,1,38.0,-1,0,14300000,Западное Дегунино,Дегунинская ,7,Моссельмаш,Любовь и Голуби
111,ID 96167522,realtor,https://www.cian.ru/sale/flat/298882717/,Москва,sale,flat,9,9,1,36.5,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
112,ID 96167522,realtor,https://www.cian.ru/sale/flat/297465291/,Москва,sale,flat,7,9,1,36.3,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
113,Est-a-Tet – Вторичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299633102/,Москва,sale,flat,2,3,1,35.2,-1,0,6900000,, Героя России Чернышева,5,Филатов Луг,
114,ID 96167522,realtor,https://www.cian.ru/sale/flat/295766589/,Москва,sale,flat,9,9,1,35.9,-1,0,9072500,Люблино, Верхние Поля,27С2,Братиславская,
115,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/299055856/,Москва,sale,flat,2,9,1,33.6,-1,0,15500000,Мещанский,Трифоновская ,56,Рижская,
116,ID 102468107,homeowner,https://www.cian.ru/sale/flat/300798228/,Москва,sale,flat,11,12,1,38.3,-1,0,12990000,Дмитровский,Дмитровское шоссе,109к1,Яхромская,
117,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/299093726/,Москва,sale,flat,4,4,1,39.9,-1,0,11700000,Южное Тушино,Окружная ,2,Трикотажная,
118,RND,real_estate_agent,https://www.cian.ru/sale/flat/301426259/,Москва,sale,flat,6,16,1,34.8,-1,0,13100000,Дмитровский,Дмитровское шоссе,107Ак5,Яхромская,Город
119,Елена Харламенкова,realtor,https://www.cian.ru/sale/flat/301614461/,Москва,sale,flat,8,20,1,33.7,-1,0,13500000,Очаково-Матвеевское,Озерная ,44,Озёрная,Мичуринский парк
120,Бюро Эстейт,real_estate_agent,https://www.cian.ru/sale/flat/299166952/,Москва,sale,flat,6,14,1,27.0,-1,0,14700000,Раменки,проспект Генерала Дорохова,39к1,Минская,Собрание клубных домов West Garden
121,ID 16206164,homeowner,https://www.cian.ru/sale/flat/301408225/,Москва,sale,flat,22,24,1,42.7,-1,0,19500000,Даниловский,Автозаводская ,23Бк2,ЗИЛ,Парк Легенд
122,Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/298720724/,Москва,sale,flat,2,4,1,17.5,-1,0,7840000,Соколиная гора,Щербаковская ,53К17,Измайлово,
123,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300812067/,Москва,sale,flat,8,17,1,36.2,-1,0,27000000,Тверской,Садовая-Триумфальная ,22/31,Маяковская,
124,Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/296468472/,Москва,sale,flat,13,16,1,40.3,-1,0,8400000,, Гренадерская,9к3,Коммунарка,"Новые Ватутинки, мкр. Десна"
125,ID 107641596,unknown,https://www.cian.ru/sale/flat/299373811/,Москва,sale,flat,12,14,1,38.0,-1,0,8949000,Лосиноостровский,Изумрудная ,36,Бабушкинская,
126,ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/292414373/,Москва,sale,flat,16,22,1,14.3,-1,0,7450000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
127,MERSI,real_estate_agent,https://www.cian.ru/sale/flat/299203398/,Москва,sale,flat,6,18,1,40.9,-1,0,17400000,Академический,Новочеремушкинская ,35к2,Профсоюзная,
128,ЕСН,real_estate_agent,https://www.cian.ru/sale/flat/301436020/,Москва,sale,flat,2,9,1,32.5,-1,0,7900000,Гольяново,Новосибирская ,11,Щёлковская,
129,Максим  Колесников,realtor,https://www.cian.ru/sale/flat/301350226/,Москва,sale,flat,21,25,1,33.5,-1,0,11950000,Кунцево,№ 100 кв-л,1к3,Павшино,Мякинино парк
130,Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/299188084/,Москва,sale,flat,11,13,1,37.0,-1,0,8550000,Десеновское поселение, 3-я Нововатутинская,8,,"Новые Ватутинки, мкр. Центральный"
131,Максим Степанов,realtor,https://www.cian.ru/sale/flat/301343617/,Москва,sale,flat,10,12,1,39.1,-1,0,11300000,Отрадное,Олонецкая ,15Б,Отрадное,
132,ID 33199158,unknown,https://www.cian.ru/sale/flat/292196992/,Москва,sale,flat,1,4,1,41.3,-1,0,6800000,, Жемчужная,1к4,Филатов Луг,Марьино Град
133,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300140948/,Москва,sale,flat,11,20,1,44.0,-1,0,22500000,Левобережный,Ленинградское шоссе,69,Беломорская,Aquatoria
134,Ashtons International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301646294/,Москва,sale,flat,5,12,1,38.6,-1,0,10500000,Выхино-Жулебино,Жулебинский бульвар,30К1,Жулебино,
135,ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/294621795/,Москва,sale,flat,11,22,1,21.3,-1,0,8600000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
136,ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/294623881/,Москва,sale,flat,15,22,1,19.9,-1,0,8060000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
137,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301496269/,Москва,sale,flat,4,17,1,39.0,-1,0,12099999,Зюзино,Симферопольский бульвар,24К5,Севастопольская,
138,Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/301476484/,Москва,sale,flat,13,22,1,17.6,-1,0,8900000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
139,ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/293749407/,Москва,sale,flat,18,21,1,46.7,-1,0,17999900,Хорошево-Мневники, Народного Ополчения,13,Народное Ополчение,Wellton Gold
140,Самолет плюс Троицк,real_estate_agent,https://www.cian.ru/sale/flat/299730921/,Москва,sale,flat,4,4,1,30.1,-1,0,5000000,,,2,Прокшино,
141,Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/300858701/,Москва,sale,flat,6,22,1,17.3,-1,0,8590000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
142,Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/300938234/,Москва,sale,flat,2,2,1,30.0,-1,0,9900000,Текстильщики,Грайвороновская ,4С2,Текстильщики,
