author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Аврора Проперти,real_estate_agent,https://www.cian.ru/sale/flat/300120368/,Москва,sale,flat,3,3,2,107.8,-1,0,70000000,Покровское-Стрешнево,Ленинградское шоссе,23к1,Балтийская,TWEED PARK
Александр Кудинов,realtor,https://www.cian.ru/sale/flat/295917588/,Москва,sale,flat,14,24,2,45.0,-1,0,32500000,Хорошевский,Хорошевское шоссе,25Ак1,Полежаевская,Династия
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/294770486/,Москва,sale,flat,18,22,2,53.0,-1,0,32000000,Очаково-Матвеевское,Нежинская ,3,Матвеевская,Городские резиденции SPIRES
Вертикаль,real_estate_agent,https://www.cian.ru/sale/flat/300011640/,Москва,sale,flat,4,11,2,79.0,-1,0,36500000,Преображенское,Краснобогатырская ,90С1,Преображенская площадь,Наследие
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539733/,Москва,sale,flat,7,14,2,67.0,-1,0,48000000,Дорогомилово,Большая Дорогомиловская ,4,Киевская,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/298826427/,Москва,sale,flat,4,8,2,50.0,-1,0,37000000,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
Аврора Проперти,real_estate_agent,https://www.cian.ru/sale/flat/299914914/,Москва,sale,flat,3,7,2,45.0,-1,0,45000000,Пресненский,Большой Тишинский переулок,38,Улица 1905 года,Sinatra
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/301041042/,Москва,sale,flat,3,7,2,70.0,-1,0,92690000,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов 
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/295773203/,Москва,sale,flat,9,14,2,67.0,-1,0,38000000,Раменки,проспект Генерала Дорохова,39к1,Минская,Собрание клубных домов West Garden
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/298562397/,Москва,sale,flat,3,40,2,81.7,-1,0,59500000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/299328634/,Москва,sale,flat,7,12,2,77.2,-1,0,104900000,Хамовники, Ефремова,10с1к4/2,Фрунзенская,Садовые кварталы
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/299369805/,Москва,sale,flat,1,6,2,50.0,-1,0,45000000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
Аврора Проперти,real_estate_agent,https://www.cian.ru/sale/flat/300101163/,Москва,sale,flat,4,6,2,75.1,-1,0,99000000,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
Аврора Проперти,real_estate_agent,https://www.cian.ru/sale/flat/298296901/,Москва,sale,flat,5,6,2,49.6,-1,0,66960000,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301356296/,Москва,sale,flat,5,7,2,66.2,-1,0,77826250,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов 
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/300052374/,Москва,sale,flat,5,17,2,55.9,-1,0,18400000,Отрадное,Нововладыкинский проезд,1к3,Окружная,Поколение
ТСН Владис,real_estate_agent,https://www.cian.ru/sale/flat/297667857/,Москва,sale,flat,2,9,2,37.1,-1,0,10990000,Ростокино,проспект Мира,173,Ростокино,
ЦеНтр ПИК,real_estate_agent,https://www.cian.ru/sale/flat/301449141/,Москва,sale,flat,21,22,2,39.9,-1,0,12990000,, Картмазовские Пруды,2к3,Филатов Луг,Филатов луг
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/301509983/,Москва,sale,flat,3,19,2,47.7,-1,0,32500000,Раменки, Лобачевского,120к2,Аминьевская,Событие
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/299636912/,Москва,sale,flat,14,29,2,50.1,-1,0,30500000,Хорошево-Мневники,Шелепихинская набережная,40к3,Хорошёвская,Sydney City
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301520904/,Москва,sale,flat,4,14,2,43.0,-1,0,27000000,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden
Надежда Тимошина,realtor,https://www.cian.ru/sale/flat/301065652/,Москва,sale,flat,6,16,2,67.6,-1,0,45000000,Даниловский, Архитектора Щусева,5к2,ЗИЛ,ЗИЛАРТ
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/300593020/,Москва,sale,flat,4,11,2,62.7,-1,0,33100000,Раменки,Винницкая ,8к4,Раменки,Настоящее
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301348196/,Москва,sale,flat,3,9,2,45.5,-1,0,17390000,Мещанский,Большая Переяславская ,11,Проспект Мира,
City Towers,official_representative,https://www.cian.ru/sale/flat/301835604/,Москва,sale,flat,5,11,2,72.0,-1,0,48000000,Басманный, Казакова,7,Курская,
ID 74595537,unknown,https://www.cian.ru/sale/flat/301855683/,Москва,sale,flat,12,15,2,43.4,-1,0,32000000,Пресненский,Шмитовский проезд,39к8,Москва-Сити,Headliner
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301729267/,Москва,sale,flat,5,9,2,45.2,-1,0,13800000,Чертаново Северное,Сумской проезд,23К2,Южная,
ID 114506009,homeowner,https://www.cian.ru/sale/flat/299883663/,Москва,sale,flat,9,23,2,53.0,-1,0,26900000,Раменки,Мичуринский проспект,13к1,Ломоносовский проспект,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296060032/,Москва,sale,flat,5,8,2,52.7,-1,0,49000000,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
АЛинвест,real_estate_agent,https://www.cian.ru/sale/flat/296923306/,Москва,sale,flat,17,22,2,62.0,-1,0,19800000,Бескудниковский,Бескудниковский бульвар,52к1,Яхромская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/297716380/,Москва,sale,flat,36,53,2,78.0,-1,0,45800000,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
Эльмира Эмирова,realtor,https://www.cian.ru/sale/flat/300273938/,Москва,sale,flat,57,75,2,98.5,-1,0,64025000,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,Меркурий Тауэр
ID 98316769,homeowner,https://www.cian.ru/sale/flat/299233853/,Москва,sale,flat,4,8,2,60.3,-1,0,31000000,Ломоносовский,Ленинский проспект,78,Университет,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298529365/,Москва,sale,flat,6,10,2,70.0,-1,0,88000000,Тверской, Фадеева,4А,Новослободская,Итальянский Квартал
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/283680381/,Москва,sale,flat,4,7,2,65.0,-1,0,88150943,Хамовники,Комсомольский проспект,42С2,Спортивная,Clerkenwell House
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/297814123/,Москва,sale,flat,16,30,2,54.0,-1,0,23900000,Щукино,Авиационная ,66,Щукинская,"Авиационная, 66"
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/299294037/,Москва,sale,flat,2,6,2,80.0,-1,0,80000000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
MERSI,real_estate_agent,https://www.cian.ru/sale/flat/292207196/,Москва,sale,flat,43,75,2,101.0,-1,0,90000000,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,Меркурий Тауэр
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301495114/,Москва,sale,flat,6,16,2,70.3,-1,0,22000000,Ховрино, Лавочкина,46К2,Беломорская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298199191/,Москва,sale,flat,11,14,2,69.0,-1,0,55000000,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden
MERSI,real_estate_agent,https://www.cian.ru/sale/flat/301038780/,Москва,sale,flat,12,85,2,89.0,-1,0,55000000,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр,МФК ОКО
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301809449/,Москва,sale,flat,13,24,2,58.7,-1,0,17200000,Западное Дегунино,Базовская ,15к15,Грачёвская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/289806249/,Москва,sale,flat,4,8,2,66.7,-1,0,52000000,Таганский,Серебряническая набережная,11,Китай-город,Титул на Серебрянической
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/288552689/,Москва,sale,flat,46,75,2,114.2,-1,0,86000000,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,Меркурий Тауэр
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/297401626/,Москва,sale,flat,2,9,2,44.0,-1,0,10300000,Лосиноостровский,Оборонная ,6,Медведково,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/292133929/,Москва,sale,flat,3,5,2,41.0,-1,0,40900000,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/297457935/,Москва,sale,flat,3,8,2,74.3,-1,0,140000000,Якиманка,Большой Толмачевский переулок,5С5,Полянка,Дом Лаврушинский
Юлия Неговорина,realtor,https://www.cian.ru/sale/flat/301233886/,Москва,sale,flat,5,9,2,45.0,-1,0,16950000,Можайский, Маршала Неделина,32К2,Рабочий посёлок,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/294650795/,Москва,sale,flat,3,5,2,44.0,-1,0,46500000,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298529788/,Москва,sale,flat,10,12,2,97.9,-1,0,130000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298472684/,Москва,sale,flat,8,16,2,52.3,-1,0,13500000,Чертаново Южное,Кировоградская ,44АК1,Улица Академика Янгеля,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/284538862/,Москва,sale,flat,3,14,2,70.2,-1,0,38000000,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299914021/,Москва,sale,flat,4,57,2,110.0,-1,0,66000000,Хорошевский,Чапаевский переулок,3,Аэропорт,Триумф-Палас
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/284054915/,Москва,sale,flat,3,12,2,66.0,-1,0,82000000,Раменки,Мосфильмовская ,1А,Ломоносовский проспект,Вишневый сад
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300610097/,Москва,sale,flat,12,20,2,103.0,-1,0,128000000,Пресненский,Мантулинская ,9к6,Москва-Сити,City Park
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/291004202/,Москва,sale,flat,3,9,2,148.5,-1,0,230000000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
ID 89000637,unknown,https://www.cian.ru/sale/flat/298264923/,Москва,sale,flat,2,4,2,51.4,-1,0,10200000,Троицк, Бориса Житкова,5,,
RED,real_estate_agent,https://www.cian.ru/sale/flat/301696967/,Москва,sale,flat,9,9,2,45.1,-1,0,10350000,Выхино-Жулебино,Ферганская ,24,Юго-Восточная,
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/292656511/,Москва,sale,flat,3,9,2,37.3,-1,0,11200000,Зюзино,Черноморский бульвар,19К1,Севастопольская,
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/300348493/,Москва,sale,flat,1,17,2,50.7,-1,0,12800000,Северное Бутово,Коктебельская ,4К3,Бульвар Дмитрия Донского,
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/296152294/,Москва,sale,flat,3,22,2,55.5,-1,0,14600000,Северный,Челобитьевское шоссе,12к5,Физтех,
СМАРЕНТ,real_estate_agent,https://www.cian.ru/sale/flat/300207499/,Москва,sale,flat,6,12,2,69.5,-1,0,16500000,Крюково,Зеленоград,10.1,Зеленоград — Крюково,Жемчужина Зеленограда ЖК
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/301297839/,Москва,sale,flat,4,12,2,46.0,-1,0,17200000,Савеловский,2-я Квесисская ,22,Савёловская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298002960/,Москва,sale,flat,27,41,2,41.1,-1,0,17800000,Раменки, Лобачевского,124к1,Аминьевская,Огни
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300872621/,Москва,sale,flat,10,30,2,55.1,-1,0,18299000,Южнопортовый,Волгоградский проспект,32/3к6,Угрешская,Метрополия
Ирина Холмогорова,realtor,https://www.cian.ru/sale/flat/301803857/,Москва,sale,flat,9,9,2,45.1,-1,0,18300000,Тропарево-Никулино,проспект Вернадского,89К4,Юго-Западная,
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/300368305/,Москва,sale,flat,10,42,2,42.6,-1,0,18900000,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo
RED,real_estate_agent,https://www.cian.ru/sale/flat/301168690/,Москва,sale,flat,8,8,2,48.2,-1,0,19000000,Ломоносовский,Ленинский проспект,85,Университет,
RMRealty,real_estate_agent,https://www.cian.ru/sale/flat/300231369/,Москва,sale,flat,2,4,2,47.4,-1,0,19908000,Замоскворечье,Большая Серпуховская ,44,Серпуховская,
ID 102005365,homeowner,https://www.cian.ru/sale/flat/298676131/,Москва,sale,flat,22,24,2,58.0,-1,0,22200000,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301313976/,Москва,sale,flat,26,42,2,46.0,-1,0,22500000,Котловка,Большая Черемушкинская ,25С14,Нагорная,Eniteo
Славянка - офис Северо-Запад,real_estate_agent,https://www.cian.ru/sale/flat/301847008/,Москва,sale,flat,2,21,2,46.0,-1,0,23500000,Хорошевский,9Ак1,9Ак1,Зорге,Зорге 9 ЖК
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/293704749/,Москва,sale,flat,4,38,2,65.0,-1,0,23900000,Ростокино,проспект Мира,188Бк4,Ростокино,Триколор
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/294650908/,Москва,sale,flat,6,6,2,51.0,-1,0,24000000,Таганский,Наставнический переулок,6,Курская,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/299599518/,Москва,sale,flat,3,18,2,47.0,-1,0,25000000,Беговой,Ленинградский проспект,29к3,Петровский Парк,Царская площадь
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/301127900/,Москва,sale,flat,6,37,2,43.1,-1,0,26300000,Раменки, Лобачевского,120к1,Аминьевская,Крылья
RED,real_estate_agent,https://www.cian.ru/sale/flat/301732549/,Москва,sale,flat,3,15,2,64.8,-1,0,26317000,Хорошевский,Ходынский бульвар,2,ЦСКА,Лайнер
RND,real_estate_agent,https://www.cian.ru/sale/flat/300982481/,Москва,sale,flat,8,30,2,62.8,-1,0,27350000,Южнопортовый,Волгоградский проспект,32/3к5,Угрешская,Метрополия
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301735474/,Москва,sale,flat,17,17,2,56.6,-1,0,13200000,, Бианки,3,Рассказовка,Город-парк Первый Московский
ID 16594271,unknown,https://www.cian.ru/sale/flat/298705499/,Москва,sale,flat,12,12,2,55.0,-1,0,14400000,Косино-Ухтомский,Салтыковская ,6/2к2,Новокосино,мой адрес На Салтыковской
BERI,real_estate_agent,https://www.cian.ru/sale/flat/300568239/,Москва,sale,flat,3,5,2,46.7,-1,0,12190000,Новогиреево,Мартеновская ,20,Новогиреево,
Delight  Realty,real_estate_agent,https://www.cian.ru/sale/flat/295316100/,Москва,sale,flat,22,42,2,61.6,-1,0,27990000,Филевский парк,Багратионовский проезд,5Ак1,Фили,Filicity
Дарья Дмитриева,realtor,https://www.cian.ru/sale/flat/292303736/,Москва,sale,flat,6,12,2,53.5,-1,0,13290000,Выхино-Жулебино,Привольная ,9К3,Лермонтовский проспект,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298565482/,Москва,sale,flat,15,21,2,37.26,-1,0,15800000,Хорошевский, Зорге,9,Полежаевская,Зорге 9
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539774/,Москва,sale,flat,9,10,2,75.0,-1,0,31500000,Басманный, Фридриха Энгельса,31/35,Бауманская,
Vysotsky Estate,real_estate_agent,https://www.cian.ru/sale/flat/300821896/,Москва,sale,flat,5,17,2,51.0,-1,0,13600000,Нижегородский,3-я Карачаровская ,9к3,Перово,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300526496/,Москва,sale,flat,4,11,2,65.0,-1,0,39000000,Дорогомилово,Кутузовский проспект,4/2,Киевская,
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/297358942/,Москва,sale,flat,2,20,2,45.0,-1,0,25500000,Хорошево-Мневники, Паршина,10,Народное Ополчение,Серебряный парк
МИР-Н,real_estate_agent,https://www.cian.ru/sale/flat/301363091/,Москва,sale,flat,7,9,2,72.3,-1,0,12500000,, Семена Гордого,3,Крёкшино,Ново-Никольское
Аврора Проперти,real_estate_agent,https://www.cian.ru/sale/flat/295451385/,Москва,sale,flat,7,9,2,55.1,-1,0,53000000,Пресненский,Большая Бронная ,5,Пушкинская,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/300737798/,Москва,sale,flat,12,12,2,38.7,-1,0,17690000,Пресненский,Шелепихинское шоссе,17К3,Шелепиха,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298169123/,Москва,sale,flat,6,16,2,38.0,-1,0,13490000,, Эдварда Грига,17,Потапово,Скандинавия
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301061105/,Москва,sale,flat,14,19,2,51.3,-1,0,13950000,, Атласова,7К1,Рассказовка,Город-парк Первый Московский
Real Estate Game,real_estate_agent,https://www.cian.ru/sale/flat/298136780/,Москва,sale,flat,17,18,2,52.0,-1,0,12000000,Некрасовка,проспект Защитников Москвы,12,Некрасовка,Некрасовка-Парк
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/301507613/,Москва,sale,flat,33,33,2,52.9,-1,0,14050000,Западное Дегунино,Ижорская ,6к6,Ховрино,Бусиновский парк
ID 112949620,homeowner,https://www.cian.ru/sale/flat/301168458/,Москва,sale,flat,17,18,2,55.6,-1,0,18450000,Кузьминки,Зеленодольская ,28А,Кузьминки,
Ключъ,real_estate_agent,https://www.cian.ru/sale/flat/295903328/,Москва,sale,flat,37,40,2,78.0,-1,0,22300000,Ховрино, Дыбенко,38к1,Ховрино,
Алевтина Старжевич,realtor,https://www.cian.ru/sale/flat/301273973/,Москва,sale,flat,3,9,2,45.0,-1,0,21000000,Академический, Ивана Бабушкина,12К2,Академическая,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298472611/,Москва,sale,flat,9,14,2,53.6,-1,0,18800000,Можайский, Красных Зорь,23,Кунцевская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301601558/,Москва,sale,flat,16,17,2,56.0,-1,0,26500000,Южнопортовый,3-й Крутицкий переулок,11,Пролетарская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301481391/,Москва,sale,flat,1,5,2,43.0,-1,0,14390000,Филевский парк,Сеславинская ,2,Багратионовская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300104962/,Москва,sale,flat,10,24,2,62.0,-1,0,14950000,Можайский,Беловежская ,37К1,Сетунь,
АЯКС,real_estate_agent,https://www.cian.ru/sale/flat/301856291/,Москва,sale,flat,19,34,2,45.5,-1,0,19000000,Обручевский, Архитектора Власова,71к2,Воронцовская,Ever
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299331214/,Москва,sale,flat,1,9,2,44.0,-1,0,10500000,Теплый Стан, Островитянова,22К2,Коньково,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298273966/,Москва,sale,flat,6,12,2,68.85,-1,0,10000000,, Труда,9,Кокошкино,
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/299768114/,Москва,sale,flat,3,17,2,53.8,-1,0,12400000,Бирюлево Восточное,Липецкая ,7К1,Царицыно,
MC REALTY,real_estate_agent,https://www.cian.ru/sale/flat/301643153/,Москва,sale,flat,48,78,2,65.0,-1,0,52500000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301267140/,Москва,sale,flat,3,5,2,43.0,-1,0,12900000,Кузьминки,Волгоградский проспект,129,Кузьминки,
ID 261202,homeowner,https://www.cian.ru/sale/flat/299698083/,Москва,sale,flat,12,12,2,48.1,-1,0,10250000,, Харлампиева,44,Филатов Луг,Спортивный квартал
Ирина Добронравова,realtor,https://www.cian.ru/sale/flat/300813808/,Москва,sale,flat,7,14,2,45.0,-1,0,19990000,Савеловский, 8 Марта,2/10к2,Гражданская,
ID 12952860,unknown,https://www.cian.ru/sale/flat/300986703/,Москва,sale,flat,10,12,2,48.0,-1,0,15690000,Люблино,Краснодарская ,60,Люблино,
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300199357/,Москва,sale,flat,14,58,2,60.2,-1,0,20000000,Ростокино,проспект Мира,188Бк1,Ростокино,Триколор
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/301007212/,Москва,sale,flat,15,16,2,83.3,-1,0,30500000,Зюзино,Азовская ,24К1,Севастопольская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301427208/,Москва,sale,flat,2,5,2,44.0,-1,0,14000000,Кузьминки, Юных Ленинцев,109К2,Кузьминки,
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/300948322/,Москва,sale,flat,13,28,2,69.0,-1,0,35500000,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/300660152/,Москва,sale,flat,9,15,2,46.2,-1,0,35800000,Раменки,Винницкая ,8к3,Раменки,Настоящее
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/299432509/,Москва,sale,flat,4,6,2,78.4,-1,0,20500000,Измайлово,Измайловский бульвар,38,Первомайская,
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300985937/,Москва,sale,flat,3,12,2,110.0,-1,0,107900000,Хамовники,Малая Пироговская ,8,Спортивная,Barrin House
Центр Содействия Союз,real_estate_agent,https://www.cian.ru/sale/flat/299633624/,Москва,sale,flat,24,28,2,62.6,-1,0,33900000,Раменки,Винницкая ,8к1,Раменки,Настоящее
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/301037884/,Москва,sale,flat,12,12,2,52.0,-1,0,14400000,Отрадное,Отрадная ,1,Отрадное,
Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/298227238/,Москва,sale,flat,6,32,2,69.9,-1,0,29500000,Хорошево-Мневники,Причальный проезд,10,Шелепиха,
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/292552746/,Москва,sale,flat,28,47,2,53.2,-1,0,26600000,Хорошево-Мневники, Генерала Глаголева,14Ак1,Народное Ополчение,CRYSTAL Трилогия
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301614540/,Москва,sale,flat,5,9,2,43.0,-1,0,13000000,Перово,1-я Владимирская ,9,Перово,
ID 90681313,unknown,https://www.cian.ru/sale/flat/301392006/,Москва,sale,flat,3,16,2,60.0,-1,0,17700000,Бирюлево Восточное,6-я Радиальная ,7/6к2,Царицыно,Царицыно-2
Мантис Групп,real_estate_agent,https://www.cian.ru/sale/flat/300053994/,Москва,sale,flat,10,22,2,57.3,-1,0,19900000,Хорошево-Мневники,проспект Маршала Жукова,47,Народное Ополчение,
Алексей Шамис,realtor,https://www.cian.ru/sale/flat/301424724/,Москва,sale,flat,7,8,2,42.0,-1,0,11100000,Перово,шоссе Энтузиастов,68,Перово,
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/297928971/,Москва,sale,flat,7,8,2,58.6,-1,0,15999000,Нагорный,Чонгарский бульвар,1К2,Варшавская,
Галина Розенберг,realtor,https://www.cian.ru/sale/flat/300569348/,Москва,sale,flat,5,27,2,43.0,-1,0,22000000,Хорошевский, Зорге,9к2,Полежаевская,Рихард
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298472648/,Москва,sale,flat,3,14,2,47.4,-1,0,11250000,Восточное Дегунино,Дубнинская ,10К4,Дегунино,
ID 98545149,homeowner,https://www.cian.ru/sale/flat/301677312/,Москва,sale,flat,9,19,2,68.0,-1,0,28700000,Алексеевский,Новоалексеевская ,16к2,Алексеевская,Серебряный фонтан
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/292730319/,Москва,sale,flat,20,22,2,73.2,-1,0,24800000,Покровское-Стрешнево,Волоколамское шоссе,71к8,Спартак,Город на Реке Тушино-2018
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/299111448/,Москва,sale,flat,10,18,2,60.5,-1,0,21000000,Зюзино,Симферопольский бульвар,24к4,Чертановская,
PANDA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/301419763/,Москва,sale,flat,10,28,2,70.0,-1,0,36000000,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/299523719/,Москва,sale,flat,23,23,2,55.0,-1,0,15600000,Черемушки,Нахимовский проспект,31к3,Новые Черёмушки,Апарт-комплекс Нахимов
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301489360/,Москва,sale,flat,8,17,2,60.0,-1,0,21300000,Бескудниковский,Селигерская ,2,Верхние Лихоборы,ул. Селигерская д. 2
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/301493843/,Москва,sale,flat,8,9,2,71.2,-1,0,26800000,Покровское-Стрешнево,Волоколамское шоссе,71/8к1,Спартак,Город на Реке Тушино-2018
Елена Кудрявцева,realtor,https://www.cian.ru/sale/flat/301737385/,Москва,sale,flat,2,20,2,43.3,-1,0,22500000,Даниловский,проспект Лихачева,18к2,Технопарк,Квартал на набережной NOW
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/299580417/,Москва,sale,flat,3,28,2,50.4,-1,0,26400000,Раменки,Винницкая ,8к1,Раменки,Настоящее
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301621250/,Москва,sale,flat,18,20,2,41.2,-1,0,18000000,Бутырский,Новодмитровская ,2к4,Дмитровская,Савеловский Сити
ЦеНтр ПИК,real_estate_agent,https://www.cian.ru/sale/flat/294469100/,Москва,sale,flat,9,9,2,44.0,-1,0,12900000,Нижегородский,Нижегородская ,49А,Нижегородская,
Ольга Медведева,realtor,https://www.cian.ru/sale/flat/301756290/,Москва,sale,flat,9,13,2,52.4,-1,0,19600000,Метрогородок,Тагильская ,4к1,Бульвар Рокоссовского,Сиреневый парк
Место,real_estate_agent,https://www.cian.ru/sale/flat/300761908/,Москва,sale,flat,3,9,2,43.8,-1,0,12299999,Чертаново Южное,Чертановская ,54К2,Улица Академика Янгеля,
